TOPIC,WORD,MEANING,SENTENCE,
78.Reduce,Curtail,reduce., The cricket match was Curtailed to 20 overs a side.,
78.Reduce,Dwindle,reduce., Support for the party has Dwindled.,
78.Reduce,Flag,"lose energy, interest, etc.,", It had been a long day and the children were beginning to Flag.,
78.Reduce,Wane,reduce., Her enthusiasm for the whole idea was waning rapidly.,
79.Combine,Amalgamate,to combine., The company has now Amalgamated with another local firm.,
79.Combine,Coalition,a combination of 2 or more things., The two party leaders have to cooperate in a Coalition government.,
79.Combine,Conflate,to join., The issues of race and class are separate and should not be Conflated.,
79.Combine,Meld,mix together or join., We've choosen our favorite houses that Meld style with globally conscious living.,
79.Combine,Synthesis,a combination or mixture of 2 or more things, Our culture has a Synthesis of traditional and modern values.,
80.Relevant,Apposite,relevant.,Her remarks are extremely Apposite to the present discussion.,
80.Relevant,Apropos,appropriate,Lets discuss this on an Apropos moment.,
80.Relevant,Germane,relevant.,These remarks are Germane to the discussion.,
80.Relevant,Pertinent,relevant.,Please keep your comments Pertinent to the topic under discussion.,
81.Remembering the past,Hindsight,look back at a situation after it has happened., What looks obvious in Hindsight was not at all obvious at the time.,
81.Remembering the past,Nostalgia,sentimental desire or thought for the happy past time., She is filled with Nostalgia for her own college days.,
81.Remembering the past,Reminiscence,remembering past time., The book is a collection of his Reminiscence about the actress.,
81.Remembering the past,Retrospect,look back at a situation after it has happened.," In Retrospect, the decision seems etremely odd.",
81.Remembering the past,Wistfully,showing a vague or regretful desire for past time.," If only I had known you then, he said Wistfully.",
82.Shortage / lack of,Dearth,lack of., There was a Dearth of reliable information on the subject.,
82.Shortage / lack of,Deficit,shortage., We don't know whether a serotonin Deficit causes depression or is itself a byproduct of other influences.,
82.Shortage / lack of,Deprived,prevented from having something.," Deprived of regular income, many homeowners are falling behind with their mortgage payments.",
82.Shortage / lack of,Devoid,lacking in., The letter was Devoid of warmth and feeling.,
82.Shortage / lack of,Paucity,lack of., There was a a Paucity of information.,
82.Shortage / lack of,Vacuous,empty or lacking in intelligence.," Although the suggestions are overly simple, they are not Vacuous.",
83.Spend lavishly,Dissipate,spend excessively or wastefully.," If you win the lottery, you might suddenly find yourself with a group of friends encouraging you to Dissipate your money.",
83.Spend lavishly,Prodigal,"spending or wasting ( money, resources ) excessively.", Marriage of his son involved Prodigal expenditure.,
83.Spend lavishly,Profligate,"spending or wasting ( money, resources )excessively.", A Profligate nation may have good reason to run up debts.,
83.Spend lavishly,Spendthrift,a person who spends excessively., Most wealthy boys are naturally inclined to be Spendthrifts.,
83.Spend lavishly,Squander,spend excessively or wastefully., He Squandered all his money on gambling.,
84.Sure /certain,Absolute,"complete, with no limitations."," You're wrong, she said with Absolute certainty.",
84.Sure /certain,Categorical,"clear, direct or unconditional.", He is known for making Categorical statements.,
84.Sure /certain,Certitude,sure or certain.," 'You will like Rome,' he said with Certitude.",
84.Sure /certain,Conviction,a firm belief," He said he agreed, but his voice lacked Conviction.",
84.Sure /certain,Emphatic,"clear, forceful or strongly expressive.", He was Emphatic that he could not work with her.,
84.Sure /certain,Incontrovertible,can not be denied or contradicted.," There is enormous, Incontrovertible evidence.",
84.Sure /certain,Unqualified,not limited or restricted., The newspaper lavished Unqualified praise on the actor.,
84.Sure /certain,X Contingent,dependent on, A good score is contingent on the amount of hard work you put in.,
84.Sure /certain,X Provisional,temporary or conditional., Some skeptics contend that science can never end because all knowledge is provisional and subject to change.,
84.Sure /certain,X Qualify,add conditions or limitations to.," I want to qualify what I said earlierI didn't mean he couldn't do the job, only that he would need supervision.",
84.Sure /certain,X Tentative,not sure or certain., A tentative smile on his face.,
85.Swell,Distend,swell., Starving children develop huge Distended stomachs.,
85.Swell,Tumid ,swollen., A Tumid belly.,
85.Swell,Turgid,swollen.," After the accident, his head became Turgid.",
86.Fertile,Arable,fertile., Bees do not occupy and use up Arable land.,
86.Fertile,Fecund,fertile.," If water can be located in other areas, arid land can readily be made Fecund.",
86.Fertile,Verdant,covered with plants or green grass., Rain has made the whole village Verdant.,
86.Fertile,X Barren,infertile.," The land was barren, and food and water were not plentiful.",
87.Uncertain in meaning,Ambiguous,unclear ; open to more than one meaning., Her story was deliberately Ambiguous.,
87.Uncertain in meaning,Ambivalent,having mixed feelings or opinions., She seems to feel Ambivalent about her new job.,
87.Uncertain in meaning,Equivocal,unclear ; open to more than one meaning., She gave an Equivocal answer.,
88.Unwilling to spend,Closefisted,unwilling to spend money., Whenever it comes to paying his rent he becomes Closefisted.,
88.Unwilling to spend,Frugal,using money or resources carefully., He has always been hard- working and Frugal.,
88.Unwilling to spend,Miserly,unwilling to spend money., He is a Miserly man.,
88.Unwilling to spend,Niggardly,unwilling to spend money.," As he is a Niggardly man, he always makes his friends spend.",
88.Unwilling to spend,Parsimonious,unwilling to spend money or resources., He was Parsimonious so hated to give more than was absolutely necessary.,
88.Unwilling to spend,Skinflint,someone who is unwilling to spend money., The old Skinflint never paid me for my work.,
88.Unwilling to spend,Stingy,reluctant to give or spend., Don't be so Stingy with your marketing budget.,
88.Unwilling to spend,Stint,provide very less or be very frugal., She never Stints on the food at her parties.,
88.Unwilling to spend,Thrift,spending carefully and wisely., The artificial reduction of interest rates discourages normal Thrift and saving.,
88.Unwilling to spend,Tightfisted,unwilling to spend money., My father becomes Tightfisted whenever I demand too much pocket money.,
89.Very high price,Exorbitant,very high price.," It is a good hotel, but the prices are Exorbitant.",
89.Very high price,Gouging,very high price., Housing shortages permit landlords to charge Gouging rents.,
89.Very high price,Prohibitive,very high price., The price of property in the city is Prohibitive.,
90.Very less,Marginal,very less., The story will only be of Marginal interest to our readers.,
90.Very less,Meager,very less or inadequate., She supplements her meagre income by cleaning at night.,
90.Very less,Negligible,small or insignificant., The cost was Negligible.,
90.Very less,Paltry,very less., His account offers a Paltry 1% return on your investment.,
90.Very less,Scanty,very less., Details of his life are Scanty.,
90.Very less,Skimpy,very less., They provided only Skimpy details.,
90.Very less,Spare,Frugally restricted or meager.," Since he was obese, the doctor recommended him a Spare diet.",
90.Very less,Sparse,"very less or restricted Mnemonic: Sparse sounds like Parsi(one group of people),who are not many in INDIA but"," Sparse sounds like Parsi(one group of people),who are not many in INDIA but
THINLY SCATTERED or SCANTILY present.
Example: Your students must be writing only short, Sparse, simple equations.
91.wealthy
Affluent=very wealthy.
Example: I live in a very Affluent neighborhood.
Opulent=very wealthy.
Example: The former ruler left behind signs of an Opulent life.
92.Breaking a rule
Breach=break a rule, law, etc.,
Example: There is a Breach of contract and copyright infringement.
Flout=break a rule, law, et Example: Your students must be writing only short, Sparse, simple equations.",
91.wealthy,Affluent,very wealthy., I live in a very Affluent neighborhood.,
91.wealthy,Opulent,very wealthy., The former ruler left behind signs of an Opulent life.,
92.Breaking a rule,Breach,"break a rule, law, etc.,", There is a Breach of contract and copyright infringement.,
92.Breaking a rule,Flout,"break a rule, law, etc.,", Motorists regularly Flout the law.,
92.Breaking a rule,X Abide,"agree with a rule, law, etc.,", The act does not spell out any consequences for failing to abide the rule.,
92.Breaking a rule,X Adhere,"agree with a rule, law, etc.,", Some corporations don't have any particular moral standard to which they adhere.,
93.Cancel / take back,Annul,cancel., Their marriage was Annulled after just two months.,
93.Cancel / take back,Disavow,disown or repudiate., The coach Disavowed responsibility for the player's behavior.,
93.Cancel / take back,Gainsay,deny or contardict., Nobody can Gainsay his claims.,
93.Cancel / take back,Null,invalidate or nullify., The contract was Nulled after a lot of thought.,
93.Cancel / take back,Recant,"withdraw ( a statement, opinion, etc ).", He had to publicly Recant his critical remarks about her.,
93.Cancel / take back,Renege,go back on your promise.," They had promised to pay her tuition, but they later Reneged.",
93.Cancel / take back,Repeal,"cancel a rule, law, etc.,", The committee does not have the power to Repeal the ban.,
93.Cancel / take back,Repudiate,"reject, refuse or deny.", Our leaders should Repudiate this sort of fatalism.,
93.Cancel / take back,Rescind,"cancel a rule, law, etc.,", The company later Rescinded his membership.,
93.Cancel / take back,Retract,"withdraw ( a statement, opinion, etc )."," He made a false confession, which he later Retracted.",
93.Cancel / take back,Revoke,"cancel a rule, law, etc.,", The judge Revoked the driving license of the criminal.,
93.Cancel / take back,Void,invalidate or nullify.," Because they were not happy in their marriage, they had it Voided.",
93.Cancel / take back,"Decay / rot, Brackish=unpleasant or distasteful"""," Finally, a Brackish tide of pessimism has descended upon the country.",,
93.Cancel / take back,Carrion,decaying flesh, The victims attract crows feasting on human Carrion.,
93.Cancel / take back,Putrefaction,decay or rot, The smell was awful and Putrefaction had already set in.,
93.Cancel / take back,Rancid,having an unpleasant smell or taste, There was a Rancid smell coming from the kitchen.,
93.Cancel / take back,X Wholesome,good for health, Inspectors ensure that food is pure and wholesome.,
94.Energizing,Invogorating,energizing., The appeal of this environment is strong and invigorating.,
94.Energizing,Revitaliing,energiing.," For relaxation, guests can enjoy Revitaliing services at the onsite spa.",
94.Energizing,Rousing,eciting or energetic., The team was given a Rousing reception y the fans.,
94.Energizing,X Sedative,making calm.," Before the test starts, you will be given a mild sedative to help you relax.",
94.Energizing,X Soporific,causing sleep., The movie had a soporific effect on the audience.,
94.Energizing,"Extra/ unnecessary, Extraneous=extra and therefore not required.""", We do not want any Extraneous information on the page.,,
94.Energizing,Redundant,extra and therefore not required., The picture has too much Redundant detail.,
94.Energizing,Superfluous,extra or unnecessary., He may have felt any extra knowledge was Superfluous.,
95.Famous important person,Eminent,famous or important., Vijay Mallya is an Eminent peronality in the business world.,
95.Famous important person,Luminary,a famous person who inspires future generations., He has played with all the great jazz luminaries.,
95.Famous important person,Pre- Eminent,superior or better than all others., Dickens was preeminent among English writers of his day.,
95.Famous important person,Stature,fame or reputation., She is an actress of considerable Stature.,
96.Greed,Avarice,greed., The man was now blinded by his own Avarice.,
96.Greed,Covetous,greedy.," It's also vulnerable to theft, Covetous family members and demands for loans from relatives.",
96.Greed,Cupidity,greed.," His Cupidity was tempted, his every weakness exploited.",
96.Greed,Rapacious,greedy., Insurance companies are Rapacious and are not in the business of optimizing care.,
97.Main job / profession,Vocation,main job.," Although he could not have known it at the time, he had found his Vocation.",
97.Main job / profession,X Avocation,a hobby., Our doctor's avocation is painting.,
98.Overly noisy,Boisterous,noisy and energetic., It was a challenge to keep the Boisterous crowd in control.,
98.Overly noisy,Cacophony,a discordant mixture of sounds., She could not hear him because of the Cacophony in the stadium.,
98.Overly noisy,Clamor,loud and continued noise., The Clamor of traffic was deafening.,
98.Overly noisy,Clangor,"a loud, resonant sound.", The Clangor of music was heard again.,
98.Overly noisy,Din,a continued loud or tumultuous sound.," The Din was sometimes worse on the platforms, topping out at 102 decibels.",
98.Overly noisy,Discordant,"harsh, unpleasant sound.", He was not selected because people found his music Discordant.,
98.Overly noisy,Inaudible,can not be heard., She spoke in an almost Inaudible voice.,
98.Overly noisy,Obstreperous,noisy and difficult to control., It was no use trying to teach the Obstreperous boys.,
98.Overly noisy,Rambunctious,noisy and difficult to control., We were fed up of the Rambunctious tennagers who have recently shifted in our colony.,
98.Overly noisy,Raucous,"harsh, unpleasant sound.", The music grew more and more Raucous as the evening went on.,
98.Overly noisy,Strident,making or having a harsh sound., The Strident ringing of the phone annoys me.,
98.Overly noisy,Uproar,a state of violent and noisy disturbance., Her comments provoked a huge Uproar from the audience.,
98.Overly noisy,Vociferous,crying out noisily; clamorous., The beauty of the birds is in their spectacular flights and Vociferous calls heard throughout the spring.,
98.Overly noisy,X Euphony,pleasant sound., The child slept while hearing his mother's euphonious voice.,
98.Overly noisy,X Mellifluous,pleasant sound.," She has a a soft, mellifluous voice.",
98.Overly noisy,X Melodious,pleasant sound., A melodious song could be heard from across the lake.,
99.Planned / x spontaneously,Calculated,done it planning.,He took a Calculated risk to solve the problem.,
99.Planned / x spontaneously,Deliberate,done with planning.,"The two are not identical , and is continued equating the two is Deliberate on his part.",
99.Planned / x spontaneously,Forethought,careul planning or thought for future.,Some Forethought and preparation are necessary before you embark on the project.,
99.Planned / x spontaneously,Intentional,done with planning., I am sorry I forgot to put your name on the list-it wasn't Intentional.,
99.Planned / x spontaneously,Premeditated,done with planning.,The killing was not Premeditated.,
99.Planned / x spontaneously,Studied,done with planning.,She introduced herself with Studied casualness.,
99.Planned / x spontaneously,X Extemporaneous,done without preparation.,The speech was extemporaneous and is not included in his published papers.,
99.Planned / x spontaneously,X Impetuous,done without preparation.,"His choices are flashy impetuous and never uninteresting X Apace=swiftly,quickly",
99.Planned / x spontaneously,"Example:work done apace., X Impromptu=done without preparation.""",They often held impromptu meetings at their house.,,
99.Planned / x spontaneously,X Improvise,do without planning or preparation,It's the kind of game that asks players to improvise and act silly.,
99.Planned / x spontaneously,Offhand,done without planning or preparation.,His offhand comments about the day's situations will be greatly missed.,
